date,views,rooms,size,reconstructed,garage,balcony,price,new,location,top
2025-09-07,424,1.0,35.0,True,False,False,109990.0,False,Kysucké Nové Mesto,True
2025-09-07,679,3.0,70.0,True,False,True,169900.0,False,Poprad,True
2025-09-07,157,2.0,56.0,True,False,True,110090.0,True,Ilava,True
2025-09-07,363,3.0,8.0,False,False,True,216900.0,True,Banská Bystrica,True
2025-09-07,667,2.0,1.0,False,False,True,119900.0,True,Martin,True
2025-09-07,322,1.0,37.0,True,False,False,59000.0,False,Trnava,True
2025-09-07,407,3.0,10.0,False,False,False,160000.0,False,Čadca,True
2025-09-07,339,4.0,80.0,True,False,True,154990.0,True,Nové Mesto n.Váhom,True
2025-09-07,304,3.0,68.0,True,False,True,185000.0,True,Banská Bystrica,True
2025-09-01,282,2.0,60.0,False,False,True,169990.0,True,Košice,False
2025-09-01,232,2.0,87.0,True,True,True,303000.0,True,Bratislava,False
2025-09-01,335,2.0,49.0,True,False,True,103300.0,False,Brezno,False
2025-09-01,289,2.0,54.0,True,False,True,135000.0,True,Levice,False
2025-09-01,200,3.0,6.0,True,False,True,78000.0,True,Trebišov,False
2025-09-01,450,1.0,36.0,True,False,True,108000.0,False,Zvolen,False
2025-09-01,211,1.0,35.0,True,False,False,123999.0,True,Prešov,False
2025-09-01,250,2.0,65.0,False,False,True,285000.0,False,Bratislava,False
2025-09-01,152,4.0,98.0,False,False,False,375000.0,True,Senec,False
2025-09-01,365,1.0,30.0,False,False,False,137000.0,False,Trnava,False
2025-09-01,452,4.0,100.0,False,False,False,185000.0,True,Senec,False
2025-09-01,236,3.0,68.0,True,True,True,164999.0,False,Trnava,False
2025-09-01,240,1.0,33.0,True,False,False,24990.0,False,Poltár,False
2025-09-01,265,1.0,36.0,False,False,True,96000.0,True,Kežmarok,False
2025-09-01,244,1.0,34.0,False,False,True,67500.0,False,Levice,False
2025-09-01,324,2.0,57.0,True,False,False,160000.0,False,Poprad,False
2025-07-28,645,0.0,21.0,False,False,True,45000.0,False,Levice,False
2025-07-28,390,4.0,84.0,True,False,True,120000.0,True,Levice,False
2025-07-28,296,3.0,79.0,True,False,True,105000.0,True,Levice,False
2025-07-28,563,3.0,13.0,True,True,True,440000.0,True,Bratislava,False
2025-07-28,325,4.0,94.0,True,False,True,105000.0,False,Levice,False
2025-07-28,457,2.0,84.0,False,False,True,74000.0,False,Levice,False
2025-07-28,874,1.0,36.0,True,False,False,95000.0,False,Galanta,False
2025-07-28,458,2.0,63.0,False,False,False,159500.0,True,Galanta,False
2025-07-28,483,2.0,62.0,False,False,False,47000.0,False,Prievidza,False
2025-07-28,330,4.0,112.0,False,False,True,339000.0,True,Poprad,False
2025-07-28,377,3.0,133.0,True,True,True,499900.0,True,Poprad,False
2025-07-28,948,3.0,71.0,True,False,True,179000.0,False,Pezinok,False
2025-07-28,739,2.0,51.0,True,False,False,92000.0,True,Spišská Nová Ves,False
2025-07-28,852,2.0,52.0,True,False,True,112000.0,False,Tvrdošín,False
